Locație,Numărul total de cazuri,Cazuri noi (o zi*),Cazuri noi (în ultimele 60 zile),Cazuri la un milion de persoane,Decese
Toată lumea,Nu există date,Nu există date,,Nu există date,Nu există date
Namibia,Nu există date,Nu există date,,Nu există date,Nu există date
Nauru,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Norfolk,Nu există date,Nu există date,,Nu există date,Nu există date
Palau,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Pitcairn,Nu există date,Nu există date,,Nu există date,Nu există date
Samoa,Nu există date,Nu există date,,Nu există date,Nu există date
Georgia de Sud şi Insulele Sandwich de Sud,Nu există date,Nu există date,,Nu există date,Nu există date
Antarctica,Nu există date,Nu există date,,Nu există date,Nu există date
Tokelau,Nu există date,Nu există date,,Nu există date,Nu există date
Tonga,Nu există date,Nu există date,,Nu există date,Nu există date
Tuvalu,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Îndepărtate ale S.U.A.,Nu există date,Nu există date,,Nu există date,Nu există date
Vanuatu,Nu există date,Nu există date,,Nu există date,Nu există date
Sf. Elena,Nu există date,Nu există date,,Nu există date,Nu există date
Wallis şi Futuna,Nu există date,Nu există date,,Nu există date,Nu există date
China continentală,Nu există date,Nu există date,,Nu există date,Nu există date
